alias,categories_alias,categories_title,coordinates_latitude,coordinates_longitude,display_phone,id,image_url,location_city,location_country,location_state,location_zip_code,name,phone,price,rating,review_count,transactions,url,cnt,num_resto_in_city,City,Population,resto_per_capita_city,price_num,category_by_name
pho-crazy-santa-rosa,"vietnamese,noodles,beerbar","Vietnamese,Noodles,Beer Bar",38.43363,-122.72703,(707) 595-4447,beKLMNVXl_-ob9jLrpsmOA,https://s3-media3.fl.yelpcdn.com/bphoto/fWGnIHtLTzzkymHI722jQg/o.jpg,Santa Rosa,US,CA,95401.0,Pho Crazy,17075954447.0,$$,4.0,146,,https://www.yelp.com/biz/pho-crazy-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,2.0,pho
viet-house-sebastopol,"vietnamese,gluten_free,soup","Vietnamese,Gluten-Free,Soup",38.3913045,-122.8171215,(707) 824-8888,V8zmYv8tGx_YQ7Y9Gns-fQ,https://s3-media1.fl.yelpcdn.com/bphoto/q9cG06IfxrcDeSu1aeehoQ/o.jpg,Sebastopol,US,CA,95472.0,Viet House,17078248888.0,$$,4.0,115,,https://www.yelp.com/biz/viet-house-sebastopol?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,Sebastopol,7653.0,0.13066771200836275,2.0,other
simmer-rohnert-park-3,vietnamese,Vietnamese,38.346854,-122.708391,(707) 843-7416,BRjRqTXKP-xLpD4Sxx4xbw,https://s3-media2.fl.yelpcdn.com/bphoto/hzHwAZ63NLZBO2UulU_uEQ/o.jpg,Rohnert Park,US,CA,94928.0,Simmer,17078437416.0,$$,4.5,114,,https://www.yelp.com/biz/simmer-rohnert-park-3?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,1,Rohnert Park,42305.0,0.02363786786431864,2.0,other
my-ha-restaurant-santa-rosa,"vietnamese,buffets","Vietnamese,Buffets",38.5121574401855,-122.779884338379,(707) 527-8882,2cPTjDxbKqoVv9AfXiNAiw,https://s3-media2.fl.yelpcdn.com/bphoto/zchWGpdyIz3Xclt6-b89Ww/o.jpg,Santa Rosa,US,CA,95403.0,My Ha Restaurant,17075278882.0,$$,3.0,90,,https://www.yelp.com/biz/my-ha-restaurant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,2.0,other
lees-noodle-house-santa-rosa,vietnamese,Vietnamese,38.4795743,-122.738502,(707) 523-2358,MvAxp-fgzPE4WCyPXRrXEw,https://s3-media3.fl.yelpcdn.com/bphoto/XKS9Vfb3UfYpDyS3kkAZIg/o.jpg,Santa Rosa,US,CA,95403.0,Lee's Noodle House,17075232358.0,$,3.5,182,,https://www.yelp.com/biz/lees-noodle-house-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,pho
pho-vietnam-santa-rosa,"vietnamese,noodles,soup","Vietnamese,Noodles,Soup",38.4292738,-122.74236876931101,(707) 571-7687,Mtsf96g_HjXzcG59MacOig,https://s3-media3.fl.yelpcdn.com/bphoto/h8Y7JiC3MJz9OM-oo24PWg/o.jpg,Santa Rosa,US,CA,95407.0,Pho Vietnam,17075717687.0,$,3.5,422,,https://www.yelp.com/biz/pho-vietnam-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,pho
noodle-soup-santa-rosa-6,"vietnamese,noodles,sandwiches","Vietnamese,Noodles,Sandwiches",38.4279778,-122.7354962,(707) 595-1119,sCOy8F-pR34A6KoaB4lGJg,https://s3-media1.fl.yelpcdn.com/bphoto/MbvWu-jtd_WNjLbs08HU8g/o.jpg,Santa Rosa,US,CA,95407.0,Noodle Soup,17075951119.0,$,3.5,28,,https://www.yelp.com/biz/noodle-soup-santa-rosa-6?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,pho
green-bamboo-restaurant-fairfield,"chinese,vietnamese","Chinese,Vietnamese",38.2219399,-122.12513,(707) 864-3601,x6TPA90IPRnqozYX6vYVkw,https://s3-media2.fl.yelpcdn.com/bphoto/P6ngfcz_m4j4alKjIevzVw/o.jpg,Fairfield,US,CA,94534.0,Green Bamboo Restaurant,17078643601.0,$,3.5,65,,https://www.yelp.com/biz/green-bamboo-restaurant-fairfield?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,4,Fairfield,112790.0,0.0354641368915684,1.0,other
golden-bun-santa-rosa-2,"vietnamese,sandwiches,desserts","Vietnamese,Sandwiches,Desserts",38.44237,-122.7149,(707) 890-5678,ReeNmE-B_EUCUaEkAZhaQA,https://s3-media1.fl.yelpcdn.com/bphoto/5LBUb8bmrSDHXvYursPK0Q/o.jpg,Santa Rosa,US,CA,95401.0,Golden Bun,17078905678.0,$,4.0,69,,https://www.yelp.com/biz/golden-bun-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,other
simply-vietnam-express-santa-rosa,"vietnamese,noodles","Vietnamese,Noodles",38.47415,-122.73258,(707) 544-4585,B_oV1Kk5nKJtYCLcF4HVQg,https://s3-media2.fl.yelpcdn.com/bphoto/wyxUhr0FYhNb2v-y6xy-tg/o.jpg,Santa Rosa,US,CA,95403.0,Simply Vietnam Express,17075444585.0,$$,3.5,302,,https://www.yelp.com/biz/simply-vietnam-express-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,2.0,other
tans-donuts-santa-rosa-2,"donuts,vietnamese","Donuts,Vietnamese",38.4520404275629,-122.771504470958,(707) 528-1567,VfGnMo86Cp3mTgGgOac30g,https://s3-media1.fl.yelpcdn.com/bphoto/au75Kuwpxv6ciy8EOku0Dw/o.jpg,Santa Rosa,US,CA,95403.0,Tan's Donuts,17075281567.0,$,4.0,28,,https://www.yelp.com/biz/tans-donuts-santa-rosa-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,other
jams-joy-bungalow-santa-rosa,"thai,vietnamese,foodtrucks","Thai,Vietnamese,Food Trucks",38.479574,-122.7385762,(707) 843-9001,CoxE2bsTufTlF0LtYirpLw,https://s3-media2.fl.yelpcdn.com/bphoto/fxFhfyqrXiQd4tm7UV_eWQ/o.jpg,Santa Rosa,US,CA,95403.0,Jam's Joy Bungalow,17078439001.0,,4.5,4,,https://www.yelp.com/biz/jams-joy-bungalow-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,,other
cafe-bagel-croissant-santa-rosa,"sandwiches,breakfast_brunch,vietnamese","Sandwiches,Breakfast & Brunch,Vietnamese",38.425319,-122.753762,(707) 522-1388,YkfgsEQODvfLPXj3QINRQw,https://s3-media3.fl.yelpcdn.com/bphoto/hN32EvNPZYB6fU6133-RUw/o.jpg,Santa Rosa,US,CA,95407.0,Cafe Bagel Croissant,17075221388.0,$,3.5,67,,https://www.yelp.com/biz/cafe-bagel-croissant-santa-rosa?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,16,Santa Rosa,174244.0,0.09182525653681044,1.0,other
pho-saigon-redding,vietnamese,Vietnamese,40.566944,-122.370404,(530) 223-9888,IH6C0kOyZ_Mq3FilB8qPGg,https://s3-media2.fl.yelpcdn.com/bphoto/dAh8FEElF8PA4JKcs0lkVw/o.jpg,Redding,US,CA,96002.0,Pho Saigon,15302239888.0,$$,3.5,114,,https://www.yelp.com/biz/pho-saigon-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,4,Redding,91236.0,0.04384234293480643,2.0,pho
champa-garden-redding,"thai,laotian,vietnamese","Thai,Laotian,Vietnamese",40.59129,-122.35724,(530) 221-4999,R_clG6jfCQCKHkEGpAUGxA,https://s3-media3.fl.yelpcdn.com/bphoto/5_P9pb1M3Vt4-Jzb2WBmLg/o.jpg,Redding,US,CA,96003.0,Champa Garden,15302214999.0,$$,4.0,631,,https://www.yelp.com/biz/champa-garden-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,4,Redding,91236.0,0.04384234293480643,2.0,other
rose-garden-redding-2,"thai,vietnamese,laotian","Thai,Vietnamese,Laotian",40.5702422,-122.38755249999998,(530) 243-8863,QtF_5NfBvn3PvRS9nKvHZw,https://s3-media1.fl.yelpcdn.com/bphoto/BDw0rvJTqVrlJyi8O5n0Rg/o.jpg,Redding,US,CA,96001.0,Rose Garden,15302438863.0,$,4.0,118,,https://www.yelp.com/biz/rose-garden-redding-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,4,Redding,91236.0,0.04384234293480643,1.0,other
boba-tea-and-coffee-redding,"taiwanese,vietnamese,coffee","Taiwanese,Vietnamese,Coffee & Tea",40.5639496,-122.3529816,(530) 221-1930,6V9a5Adj-aFy2ZSM09h0sg,https://s3-media2.fl.yelpcdn.com/bphoto/V_jRlpQQyUJbjn60TWQGhw/o.jpg,Redding,US,CA,96002.0,Boba Tea & Coffee,15302211930.0,$,4.0,85,,https://www.yelp.com/biz/boba-tea-and-coffee-redding?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,4,Redding,91236.0,0.04384234293480643,1.0,other
pho-saigon-city-2-pleasant-hill,vietnamese,Vietnamese,37.9544809014157,-122.060297027333,(925) 375-1353,VfRgq9qemQLY2DQxrRsqow,https://s3-media2.fl.yelpcdn.com/bphoto/mzDucia1ZcY0fl1851F9_A/o.jpg,Pleasant Hill,US,CA,94523.0,Pho Saigon City #2,19253751353.0,$,4.0,44,,https://www.yelp.com/biz/pho-saigon-city-2-pleasant-hill?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,2,Pleasant Hill,34662.0,0.057700075010097523,1.0,pho
hello-pho-concord,"vietnamese,soup,sandwiches","Vietnamese,Soup,Sandwiches",37.95516,-122.04158,(925) 969-9449,JB2biAdMY7VGrbVvMK2sFg,https://s3-media4.fl.yelpcdn.com/bphoto/G6iToAtyooHxezb-NK225A/o.jpg,Concord,US,CA,94520.0,Hello Pho,19259699449.0,$,4.0,318,,https://www.yelp.com/biz/hello-pho-concord?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Concord,128160.0,0.03901373283395755,1.0,pho
saigon-bistro-concord,vietnamese,Vietnamese,37.974103,-122.041692,(925) 827-1231,jlPt9YYpGdjuX_GB4oKTWQ,https://s3-media4.fl.yelpcdn.com/bphoto/05aEQXgmt0Lu2PXTw0qmTw/o.jpg,Concord,US,CA,94520.0,Saigon Bistro,19258271231.0,$,3.5,745,"delivery,pickup",https://www.yelp.com/biz/saigon-bistro-concord?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Concord,128160.0,0.03901373283395755,1.0,other
pho-lee-hoa-phat-pleasant-hill,"vietnamese,noodles","Vietnamese,Noodles",37.98019,-122.06873,(925) 680-8135,U_R0Gx-z2ZCxQNf3dwqTOw,https://s3-media4.fl.yelpcdn.com/bphoto/BnxHSWoNor3yOFtMjMX2wQ/o.jpg,Pleasant Hill,US,CA,94523.0,Pho Lee Hoa Phat,19256808135.0,$,3.5,386,,https://www.yelp.com/biz/pho-lee-hoa-phat-pleasant-hill?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,2,Pleasant Hill,34662.0,0.057700075010097523,1.0,pho
pho-huynh-hiep-6-kevins-noodle-house-walnut-creek,"vietnamese,noodles","Vietnamese,Noodles",37.907985687255895,-122.06430053710899,(925) 933-4746,-S5A8vruI_idewXUfgjmwg,https://s3-media1.fl.yelpcdn.com/bphoto/oOiTJEW-bSu2eXlAPtP9Jw/o.jpg,Walnut Creek,US,CA,94596.0,Pho Huynh Hiep 6 - Kevin's Noodle House,19259334746.0,$,4.0,957,,https://www.yelp.com/biz/pho-huynh-hiep-6-kevins-noodle-house-walnut-creek?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Walnut Creek,68516.0,0.07297565532138478,1.0,pho
mangosteen-bistro-walnut-creek,vietnamese,Vietnamese,37.8999153962326,-122.061602411488,(925) 476-5150,K49hk4ISXVDqVnBs2mJTOw,https://s3-media1.fl.yelpcdn.com/bphoto/5RlFunNHR-7oZzoz71oEkA/o.jpg,Walnut Creek,US,CA,94596.0,Mangosteen Bistro,19254765150.0,$$,4.0,98,,https://www.yelp.com/biz/mangosteen-bistro-walnut-creek?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Walnut Creek,68516.0,0.07297565532138478,2.0,other
pho-huynh-hiep-5-kevins-noodle-house-concord,"vietnamese,noodles","Vietnamese,Noodles",37.97514,-122.03901,(925) 677-2131,Y-A8HNND64GrrwuxvXVyjw,https://s3-media3.fl.yelpcdn.com/bphoto/xZRUzPGGh2Bq3q7Uo5OEBw/o.jpg,Concord,US,CA,94520.0,Pho Huynh Hiep 5 - Kevin's Noodle House,19256772131.0,$,4.0,413,,https://www.yelp.com/biz/pho-huynh-hiep-5-kevins-noodle-house-concord?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Concord,128160.0,0.03901373283395755,1.0,pho
saigon-vietnamese-bistro-walnut-creek,vietnamese,Vietnamese,37.89299260000001,-122.0600753,(925) 296-0777,p_IXrUurSOIH56wwa2xXfw,https://s3-media2.fl.yelpcdn.com/bphoto/cYLf5c9JmwLjsCOdodGHIw/o.jpg,Walnut Creek,US,CA,94596.0,Saigon Vietnamese Bistro,19252960777.0,$,4.0,233,,https://www.yelp.com/biz/saigon-vietnamese-bistro-walnut-creek?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Walnut Creek,68516.0,0.07297565532138478,1.0,other
pho-lee-hoa-phat-concord,vietnamese,Vietnamese,37.97341160000001,-122.0557022,(925) 609-9594,ZMDaG4B_uxFn3_luqiBDoA,https://s3-media1.fl.yelpcdn.com/bphoto/I4q7Ea0OiKaHoD5slCxKYQ/o.jpg,Concord,US,CA,94520.0,Pho Lee Hoa Phat,19256099594.0,$,3.0,56,,https://www.yelp.com/biz/pho-lee-hoa-phat-concord?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Concord,128160.0,0.03901373283395755,1.0,pho
88-noodle-house-martinez,"vietnamese,chinese,noodles","Vietnamese,Chinese,Noodles",37.996819,-122.107941,(925) 372-8888,bYhfiO7v59o1jVT-SeSxqw,https://s3-media3.fl.yelpcdn.com/bphoto/xVPKVyIwapRgm8970eQaGQ/o.jpg,Martinez,US,CA,94553.0,88 Noodle House,19253728888.0,$,4.0,228,,https://www.yelp.com/biz/88-noodle-house-martinez?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,2,Martinez,37902.0,0.0527676639755158,1.0,pho
vanessas-bistro-walnut-creek-2,"vietnamese,tapasmallplates,seafood","Vietnamese,Tapas/Small Plates,Seafood",37.900062510809896,-122.062260496248,(925) 891-4790,jGOLn74dehpiiwX4wXQ-vQ,https://s3-media2.fl.yelpcdn.com/bphoto/-p6Dh3wKwxLxa6cJwfjXDQ/o.jpg,Walnut Creek,US,CA,94596.0,Vanessa's Bistro,19258914790.0,$$,4.0,813,,https://www.yelp.com/biz/vanessas-bistro-walnut-creek-2?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Walnut Creek,68516.0,0.07297565532138478,2.0,other
kibis-cafe-walnut-creek,"sandwiches,asianfusion,vietnamese","Sandwiches,Asian Fusion,Vietnamese",37.905968,-122.0619941,(925) 320-1361,3f62iw5Sz3yOE3RMMOU5EQ,https://s3-media2.fl.yelpcdn.com/bphoto/Smko8298ZxPdJsLxuoG9FA/o.jpg,Walnut Creek,US,CA,94596.0,Kibi's Cafe,19253201361.0,,5.0,16,,https://www.yelp.com/biz/kibis-cafe-walnut-creek?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,5,Walnut Creek,68516.0,0.07297565532138478,,other
pho-may-martinez,"vietnamese,noodles,juicebars","Vietnamese,Noodles,Juice Bars & Smoothies",37.9935112341064,-122.131004557013,(925) 370-8030,DECQ0PaD_GthYLIsGFPxig,https://s3-media3.fl.yelpcdn.com/bphoto/Mqi29LZB_pjObJ6OP2aHFQ/o.jpg,Martinez,US,CA,94553.0,Pho May,19253708030.0,,3.5,36,,https://www.yelp.com/biz/pho-may-martinez?adjust_creative=Wu9gfEkr1Iqmmu5UKQvcJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Wu9gfEkr1Iqmmu5UKQvcJw,1,2,Martinez,37902.0,0.0527676639755158,,pho
